path,true_label,predicted_label,true_label_name,predicted_label_name
sawit/data/images/test\IMG-Bird-21.jpeg,2,4,Bird,Big_mammal
sawit/data/images/test\IMG-Bird-23.jpeg,2,1,Bird,Lizard
sawit/data/images/test\IMG-Frog-51.jpeg,0,5,Frog,Spider
sawit/data/images/test\IMG-Frog-70.jpeg,0,6,Frog,Scorpion
sawit/data/images/test\IMG-Frog-80.jpeg,0,6,Frog,Scorpion
sawit/data/images/test\IMG-Frog-84.jpeg,0,6,Frog,Scorpion
sawit/data/images/test\IMG-scorp-04.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\IMG-scorp-25.jpeg,6,5,Scorpion,Spider
sawit/data/images/test\IMG-scorp-28.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\IMG-scorp-33.jpeg,6,5,Scorpion,Spider
sawit/data/images/test\IMG-scorp-34.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\IMG-scorp-35.jpeg,6,5,Scorpion,Spider
sawit/data/images/test\IMG-sm-32.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-36.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-39.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-43.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-44.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-46.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-47.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-52.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\IMG-sm-53.jpeg,3,4,Small_mammal,Big_mammal
sawit/data/images/test\TE1-002--2021-04-13--17-53-05_frame_000035.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\TE1-003--2021-02-25--10-47-38_frame_000050.jpeg,2,1,Bird,Lizard
sawit/data/images/test\TE1-003--2021-02-25--10-47-38_frame_000055.jpeg,2,1,Bird,Lizard
sawit/data/images/test\TE1-003--2021-03-15--20-05-00_frame_000000.jpeg,6,5,Scorpion,Spider
sawit/data/images/test\TE1-003--2021-03-15--20-05-00_frame_000029.jpeg,6,1,Scorpion,Lizard
sawit/data/images/test\TE1-009--2021-02-27--22-06-09_frame_000000.jpeg,6,5,Scorpion,Spider
sawit/data/images/test\TE1-009--2021-02-27--22-06-09_frame_000020.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\TE1-009--2021-03-21--19-25-30_00280.jpeg,6,5,Scorpion,Spider
sawit/data/images/test\TE1-012--2021-03-08--11-17-32_frame_000000.jpeg,0,5,Frog,Spider
sawit/data/images/test\TE1-012--2021-03-08--11-17-32_frame_000128.jpeg,0,1,Frog,Lizard
sawit/data/images/test\TE1-012--2021-03-08--11-17-32_frame_000129.jpeg,0,1,Frog,Lizard
sawit/data/images/test\TE1-012--2021-03-08--11-17-32_frame_000130.jpeg,0,5,Frog,Spider
sawit/data/images/test\TE1-012--2021-03-08--11-17-32_frame_000131.jpeg,0,5,Frog,Spider
sawit/data/images/test\TE1-012--2021-03-12--12-33-29.avi_135.jpeg,1,0,Lizard,Frog
sawit/data/images/test\TE1-012--2021-03-17--04-15-52_00020.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\TE1-012--2021-03-17--04-15-52_00109.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\TE1-012--2021-03-17--04-15-52_00158.jpeg,6,0,Scorpion,Frog
sawit/data/images/test\TE1-012--2021-03-17--15-23-19.avi_15.jpeg,1,2,Lizard,Bird
sawit/data/images/test\TE1-012--2021-05-28--13-41-15_35.jpeg,2,1,Bird,Lizard
sawit/data/images/test\TE1-012--2021-05-31--12-37-04_45.jpeg,2,4,Bird,Big_mammal
sawit/data/images/test\TE1-012--2021-05-31--12-37-04_47.jpeg,2,4,Bird,Big_mammal
